<INFO> financialDB_operations_logger [2022-02-04 15:51:02,457]: Rows inserted > companies: 4
<INFO> financialDB_operations_logger [2022-02-04 15:51:10,210]: Rows inserted > financial_statement_item: 59
<INFO> financialDB_operations_logger [2022-02-04 15:51:42,291]: Rows inserted > companies: 0
<INFO> financialDB_operations_logger [2022-02-04 15:51:42,388]: Rows inserted > financial_statement_item: 0
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,778]: Test General found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,779]: Test Banking found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,780]: Test REIT found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,784]: Test Insurance found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,784]: Rows inserted > companies: 0
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,806]: 'Amortization' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,807]: 'Capital Expenditure' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,808]: 'Cash and Cash Equivalent' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,809]: 'Commission Expense' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,810]: 'Common Equity Tier 1 Capital' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,811]: 'Cost of Goods Sold' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,812]: 'Current Accounts Deposit' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,814]: 'Current Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,815]: 'Current Liabilities' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,816]: 'Depreciation' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,817]: 'Free Cash Flow' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,818]: 'Fixed Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,819]: 'Gains on Investment Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,820]: 'Gains on Property Sales' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,821]: 'Gross Dividend Payout per Share' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,822]: 'Gross Loans and Acceptance' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,824]: 'Intangible Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,825]: 'Interest Expense' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,826]: 'Interest Income' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,827]: 'Investment Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,828]: 'Investment Expense' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,829]: 'Investment Income' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,831]: 'Losses on Property Sales' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,832]: 'Losses on Investment Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,833]: 'Management Expense' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,834]: 'Net Cash Flow from Financing' found in database, skipping
